ID,name,price,category,availability,discount,ratings,breadcrumbs,location,lat,long,guests,pets_allowed,house_rules,details,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite
16,Home in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.88,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.65058,115.17041,8,TRUE,"[""Check-in: 3:00 PM - 8:00 PM"",""Checkout before 12:00 PM"",""8 guests maximum""]","[""8 guests"",""4 bedrooms"",""5 beds"",""4.5 baths""]",FALSE,3742,4.46,12,100,TRUE
17,Home in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6353,115.1492,10,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""10 guests maximum""]","[""10 guests"",""5 bedrooms"",""5 beds"",""5 baths""]",TRUE,624,4.78,10,100,FALSE
18,Villa in Kuta Utara ,null,Stays,TRUE,null,4.72,"Kuta Utara, Bali, Indonesia","Kuta Utara, Bali, Indonesia",-8.6583,115.1344,6,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",TRUE,52,4.92,6,92,FALSE
19,Rental unit in Kecamatan Kuta ,null,Stays,TRUE,null,4.92,"Kecamatan Kuta, Bali, Indonesia","Kecamatan Kuta, Bali, Indonesia",-8.6966,115.1654,2,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 10:00 AM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bath""]",FALSE,22,4.95,1,100,TRUE
20,Rental unit in Kuta ,null,Stays,TRUE,null,4.53,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.6995,115.1649,5,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""5 guests maximum""]","[""5 guests"",""2 bedrooms"",""3 beds"",""2 baths""]",FALSE,64,4.45,5,100,FALSE
21,Home in Kecamatan Kuta Selatan ,null,Stays,TRUE,null,5,"Kecamatan Kuta Selatan, Bali, Indonesia","Kecamatan Kuta Selatan, Bali, Indonesia",-8.6543,115.1323,4,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""4 guests maximum""]","[""4 guests"",""2 bedrooms"",""2 beds"",""2 baths""]",TRUE,21,4.81,4,100,FALSE
22,Guest house in Kuta ,null,Stays,TRUE,null,4.83,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.71349,115.1752,2,FALSE,"[""Check-in after 2:00 pm"",""Checkout before 12:00 pm"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 private bathroom""]",FALSE,51,4.73,6,100,FALSE
23,Villa in Canggu ,null,Stays,TRUE,null,4.98,"Canggu, Bali, Indonesia","Canggu, Bali, Indonesia",-8.6645,115.1403,2,FALSE,"[""Check-in after 2:00 pm"",""Checkout before 11:00 am"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bath""]",TRUE,2095,4.86,9,99,TRUE
24,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.617472108,115.1561935,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",TRUE,1003,4.81,11,94,FALSE
25,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.67504,115.15984,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""4.5 baths""]",FALSE,16,4.5,2,100,FALSE
